오브젝트이름,천체이름,천체종류,내부구조목록,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
SunModel,태양,황색 왜성,내부구조:대류층:복사층:핵,광구는 태양 가장 바깥의 얇은 층입니다. 광구 아래로는 가시광에 대해 불투명해집니다. 이는 지구 상의 공기보다 약간 더 불투명합니다.,열기둥이 뜨거운 물질을 태양의 표면으로 운반합니다. 물질이 식으면 다시 복사층으로 내려갑니다.,복사층은 열복사를 통해 핵의 열을 바깥으로 전달합니다. 내부물질은 위층으로 올라갈수록 냉각되고 밀도는 복사층 하단에서 최상층으로 올라가면서 백분의 일로 떨어집니다.,태양반지름의 24% 지점까지 태양이 내는 에너지의 99%가 생산됩니다.,,,,,,
MercuryModel,수성,행성,내부구조:핵,표면의 어두운 평원(바다)이나 크레이터들을 봤을 때 수성은 달과 비슷한 모습을 하고 있습니다. 표면의 모습에서 주목할 만한 점은 수많은 좁은 협곡들인데 지각이 식은 후 핵과 맨틀이 수축하면서 행성이 되었을 것입니다.,높은 밀도로 미루어 볼 때 수성은 철성분이 풍부한 핵을 가지고 있습니다. 핵의 구성성분 중 철의 비율이 태양계의 어느 행성보다도 큽니다.,,,,,,,,
VenusModel,금성,행성,내부구조,아직까지 금성의 내부구조에서 밝혀진 사실은 많지 않습니다. 하지만 금성이 지구와 크기와 밀도가 비슷한 것으로 미루어 내부구조도 비슷할 것으로 추측합니다. 두 행성의 지각에 있어서 가장 큰 차이라고 볼 수 있는 것은 금성에는 지질구조판의 활동이 보이지 않는다는 점입니다. 이는 금성의 표면과 맨틀이 건조하기 때문이라고 여겨지는데 이로 인해 내부의 열방출이 늦어져 자기장의 부족을 초래합니다. 금성은 점점 내부의 열을 잃을 것으로 추정됩니다.,,,,,,,,,
EarthModel,지구,행성,내부구조:맨틀:외핵:내핵,지구의 지각과 맨틀 상부는 암석권을 형성합니다. 암석권은 맨틀의 위를 떠다니는 크고 작은 판들로 이루어져 있습니다. 이러한 판들의 움직임으로부터 지진이나 화산활동이 일어납니다.,지구 부피의 84%를 차지하는 맨틀은 암질의 지구 껍데기 층입니다. 맨틀의 최상부는 거의 고체에 가까워 비교적 단단합니다.,외핵 내부의 온도차이로 인해 대류현상이 발생하는데 액체상태의 금속들이 올라갔다가 식으면 다시 뜨거운 내핵으로 내려갑니다. 이러한 대류 운동으로 인해 지구의 자기권이 형성됩니다.,내핵의 온도는 거의 태양의 표면온도와 맞먹을 것으로 생각되지만 엄청난 압력으로 인해 액체가 아닌 고체상태로 존재할 것입니다.,,,,,,
MarsModel,화성,행성,내부구조:맨틀:핵,외부 지각에서는 실리콘. 산소. 철. 마그네슘. 알루미늄. 칼슘. 칼륨이 아주 풍부해서 미래의 화성 전초기지의 발전을 위해 활용될 수 있을 것입니다.,규산염질의 맨틀은 한때 아주 활동적이어서 화성의 다양한 지형을 만들었지만 현재는 잠잠한 것으로 보입니다.,지구와 같이 화성도 내부분화가 일어나 고밀도의 철과 니켈이 핵을 형성하였지만 그 중 17%의 황 성분으로 인해 이들은 부분적 액체상태로 존재합니다.,,,,,,,
JupiterModel,목성,행성,내부구조:맨틀:핵,목성은 대부분이 기체와 액체물질로 구성되어 있습니다. 딱딱한 표면이 없고 내부로 들어갈수록 대기의 층만 바뀝니다. 내려갈수록 더 높아지는 압력 때문에 기체들은 점점 액체로 바뀝니다.,액체 수소층은 목성의 강력한 자기장의 원인이 됩니다. 목성의 자기장은 전체적으로 10배나 강하고 목성의 극에서는 지구의 극보다 20.000배나 강합니다.,목성은 고밀도의 핵을 가지고 있을 것으로 추정됩니다. 구체적인 구성성분에 대한 정보는 없지만 그 정도 깊이에서의 온도와 압력조건으로 보았을 때 고체상태로 존재할 것으로 예상됩니다.,,,,,,,
SaturnModel,토성,행성,내부구조:대기,토성의 내부구조는 목성과 비슷합니다. 다만 목성보다 밀도가 작아 태양계의 행성 중 가장 밀도가 작습니다. 빠른 자전속도로 인해 태양계의 행성들 중에서 가장 찌그러진 모습을 하고 있어서 적도지름과 극지름의 차이가 거의 10%에 달합니다.,목성보다 약한 중력으로 인해 토성의 대기는 목성보다 약간 연한색인 노란색을 띕니다. 토성의 대기가 움직이는 속도는 목성보다 5배 가량 빠릅니다. 토성은 태양으로부터 받는 열의 2.5배의 열을 자체 생산합니다. 이 열은 내부 깊숙한 곳의 헬륨이 위쪽의 저밀도의 수소를 통과하면서 발생하는 마찰열로 인해 만들어집니다.,,,,,,,,
UranusModel,천왕성,행성,내부구조:대기:맨틀:핵,메테인으로 구성된 천왕성의 대기가 붉은 빛을 흡수해서 천왕성은 청록색을 띕니다.,기체상태의 대기는 안쪽의 액체층으로 갈수록 점차 액체로 바뀝니다.,이 고체 맨틀은 상식적인 얼음같은 구성이 아니라 뜨거운 유체에 더 가깝습니다. 이 층은 물과 암모니아의 바다라고 불리기도 합니다.,상대적으로 큰 해왕성의 자기장은 얕은 깊이에서 일어나는 대류현상에 의해서 만들어집니다.,,,,,,
NeptuneModel,해왕성,행성,내부구조:대기:맨틀,해왕성의 푸른색은 천왕성보다도 선명한데 메테인과 함께 대기를 구성하는 아직 밝혀지지 않은 화합물로 인해 색의 차이가 나타나는 것으로 생각됩니다.,해왕성은 막대한 양의 내부열을 생산해내는데 이 과정은 아직 명확히 밝혀지지 않았습니다. 이 일로 인해 대기가 태양계에서 가장 빠른 속도로 순환하고 높은 고도에 거대한 천둥 번개를 만드는 구름층이 형성됩니다.,해왕성의 유체 맨틀은 높이 전도도를 가져서 해왕성의 자기장을 더욱 키워주는 역할을 합니다.,,,,,,,
MoonModel,달,지구의 위성,내부구조:맨틀:내핵,"달 지각의 가장 바깥부분의 부서진 표면층은 레골리스를 형성하고 있습니다. 레골리스는 먼지와 돌조각들이 수미터의 두께로 구성되는데, 이는 소행성 충돌로부터 형성됩니다. 레골리스 아래에는 기반암 조각으로 구성된 메가레골리스가 수 킬로미터 두께의 층을 이루고 있습니다.",월진이 달의 맨틀 깊은 곳에서 관측되고 있습니다. 이는 달의 편심성 궤도로 인해 발생한 기조력 때문인 것으로 추측됩니다.,달의 핵은 아주 작아서 달 직경의 20%에 불과합니다.,,,,,,,
